link,nationality,minutes,agent
/franck-evina/profil/spieler/336331,Cameroon,0,HMH Sportmanagement
/ruben-pena/profil/spieler/238868,Spain,0,No agent
/keagan-dolly/profil/spieler/234006,South Africa,1042,Siyavuma
/lewis-wing/profil/spieler/517286,England,0,SMI Sports ...
/federico-cartabia/profil/spieler/242548,Argentina,0,no agent
/isaac-hayden/profil/spieler/206225,England,189,No agent
/jack-butland/profil/spieler/128899,England,603,Triple S Sports
/michael-dawson/profil/spieler/9988,England,251,Mitchell Thomas
/aly-ghazal/profil/spieler/254981,Egypt,642,Base Soccer Agency ...
/martin-montoya/profil/spieler/68645,Spain,0,not clarified
/cristian-pavon/profil/spieler/373170,Argentina,386,Fernando Hidalgo
/alvaro-medran/profil/spieler/253839,Spain,44,ACRsoccer
