current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
54000000,54000000,Real Madrid,Bay. Leverkusen,RM Castilla,/daniel-carvajal/profil/spieler/138927,0,17.80449460452855,2.8794509312961876
113000,135000,JS Suning,XJ T. Leopard,XJ Leopard Res.,/abduhamit-abdugheni/profil/spieler/449191,-22000,11.635143097694478,2.4540300955780205
360000,2250000,Alanyaspor,Osmanlispor,Karabükspor,/ceyhun-gulselam/profil/spieler/37216,-1890000,12.793859310432293,2.5489653144403843
3600000,5400000,Torino,Sampdoria,Fiorentina,/lorenzo-de-silvestri/profil/spieler/33571,-1800000,15.096444403426338,2.7144592461217063
720000,720000,1.FC Heidenheim,Stuttgart II,Energie Cottbus,/kevin-muller/profil/spieler/43824,0,13.487006490992238,2.601726739812297
2250000,5400000,Celta de Vigo,Valencia,Celta de Vigo,/facundo-roncaglia/profil/spieler/61546,-3150000,14.626440774180603,2.6828309027395756
13500000,13500000,Everton,Sheffield Utd.,Northampt. Town,/dominic-calvert-lewin/profil/spieler/306024,0,16.41820024340866,2.798390490429152
180000,180000,Bolton,Norwich,Bolton,/remi-matthews/profil/spieler/196722,0,12.100712129872347,2.493264304579342
1130000,1130000,Dijon,FUS Rabat,AM Football,/nayef-aguerd/profil/spieler/361914,0,13.937728190688523,2.634599421512393
900000,2250000,Rotherham,Sunderland,West Brom,/billy-jones/profil/spieler/36866,-1350000,13.710150042306449,2.6181364375191847
1350000,1350000,SCO Angers,Paris SG U19,US Créteil,/wilfried-kanga/profil/spieler/395523,0,14.115615150414612,2.647281642081681
180000,720000,Chaves,Sheff Wed,Paços Ferreira,/filipe-melo/profil/spieler/134580,-540000,12.100712129872347,2.493264304579342
10800000,10800000,LOSC Lille,Paris SG,Paris SG B,/mike-maignan/profil/spieler/182906,0,16.195056692094447,2.7847060532095984
135000,135000,Fiorentina U19,FC Sion U21,FC Sion U18,/nicky-beloko/profil/spieler/382774,0,11.813030057420567,2.469203164398985
540000,3150000,Chievo Verona,Torino,Genoa,/riccardo-meggiorini/profil/spieler/28936,-2610000,13.199324418540456,2.580165647868961
36000000,54000000,Real Madrid,Olympique Lyon,Olymp. Lyon U19,/karim-benzema/profil/spieler/18922,-18000000,17.399029496420383,2.8564144285971467
1800000,4050000,Boca Juniors,Trabzonspor,San Lorenzo,/emmanuel-mas/profil/spieler/77153,-2250000,14.403297222866392,2.667457154181619
1350000,1350000,Akhmat Grozny,Wisla Plock,Jagiellonia,/damian-szymanski/profil/spieler/259881,0,14.115615150414612,2.647281642081681
450000,720000,Independiente,Indep'te II,Indep'te U20,/diego-mercado/profil/spieler/556049,-270000,13.017002861746503,2.5662564153311536
8100000,8100000,Brighton,RB Leipzig,RB Salzburg,/bernardo/profil/spieler/364258,0,15.907374619642667,2.766782814254532
315000,360000,SV Sandhausen,Würzb. Kickers,1860 Munich,/emanuel-taffertshofer/profil/spieler/196785,-45000,12.66032791780777,2.5384733182611328
2250000,4500000,Celta de Vigo,Nordsjaelland,Nordsjaell. U19,/mathias-jensen/profil/spieler/319859,-2250000,14.626440774180603,2.6828309027395756
9900000,9900000,Istanbul BBSK,Zeljeznicar,FK Buducnost Banovici U19,/edin-visca/profil/spieler/109217,0,16.108045315104818,2.7793188561901685
720000,2700000,Granada CF,CD Lugo,UD Almería,/ramon-azeez/profil/spieler/131667,-1980000,13.487006490992238,2.601726739812297
90000,900000,Feirense,AE Pafos,Feirense,/cris/profil/spieler/24946,-810000,11.407564949312402,2.4342767273655532
225000,1350000,Nottm Forest,Bristol City,Panathinaikos,/luke-steele/profil/spieler/3539,-1125000,12.323855681186558,2.5115368702785252
1800000,5850000,Werder Bremen,Sampdoria,Ajax,/niklas-moisander/profil/spieler/5017,-4050000,14.403297222866392,2.667457154181619
4950000,5400000,Sporting CP,Club Brugge,LOSC Lille,/abdoulay-diaby/profil/spieler/148396,-450000,15.414898134544874,2.735334453112898
3150000,3150000,Krasnodar,Ufa,Baltika,/dmitri-stotskiy/profil/spieler/124700,0,14.962913010801817,2.705574673564241
36000000,54000000,Bayern Munich,Bor. Dortmund,Bayern Munich,/mats-hummels/profil/spieler/39728,-18000000,17.399029496420383,2.8564144285971467
675000,2700000,Norwich,West Brom,Blackpool,/wesley-hoolahan/profil/spieler/24589,-2025000,13.422467969854667,2.5969300170092384
450000,450000,FC Groningen,Groningen U21,AZ Alkmaar U19,/michael-breij/profil/spieler/258511,0,13.017002861746503,2.5662564153311536
450000,720000,Argentinos Jrs,Argentinos U20,No_team,/matias-romero/profil/spieler/605721,-270000,13.017002861746503,2.5662564153311536
68000,68000,ADO Den Haag,Excelsior,Utrecht U21,/mike-havekotte/profil/spieler/206743,0,11.127262984158243,2.409398221672778
450000,450000,RCD Mallorca,Racing,CD Mirandés,/abdon-prats/profil/spieler/177452,0,13.017002861746503,2.5662564153311536
2250000,2250000,Konyaspor,NK Domzale,Otelul Galati,/nejc-skubic/profil/spieler/91434,0,14.626440774180603,2.6828309027395756
360000,630000,Los Angeles FC,Vancouver,Philadelphia,/jordan-harvey/profil/spieler/39354,-270000,12.793859310432293,2.5489653144403843
2700000,2700000,AJ Auxerre,SC Amiens,AJ Auxerre B,/thomas-monconduit/profil/spieler/127182,0,14.808762330974558,2.6952190549681467
12600000,12600000,RB Leipzig,Montpellier,Stade Laval,/nordi-mukiele/profil/spieler/348026,0,16.349207371921707,2.7941794173865815
